Class,Rake_Title_Count,Yake_Title_Count,Keybert_Title_Count,Rake_Annotation_Count,Yake_Annotation_Count,Keybert_Annotation_Count
Fuzzy Logic,6,10,2,58,25,6
Fuzzy Logic,6,12,1,51,20,9
Fuzzy Logic,5,14,0,106,37,7
Fuzzy Logic,8,16,2,32,24,3
Fuzzy Logic,6,11,3,71,32,7
Fuzzy Logic,3,14,3,25,13,3
Fuzzy Logic,4,8,5,73,36,12
Fuzzy Logic,5,11,2,62,45,8
Fuzzy Logic,5,8,4,57,44,10
Fuzzy Logic,4,13,3,56,22,9
Fuzzy Logic,3,9,6,46,18,4
Fuzzy Logic,6,8,3,71,26,7
Fuzzy Logic,5,17,1,41,9,3
Fuzzy Logic,9,12,1,109,48,3
Fuzzy Logic,4,9,1,51,22,7
Fuzzy Logic,7,9,4,66,30,9
Fuzzy Logic,6,14,2,90,20,6
Fuzzy Logic,8,6,5,36,19,6
Fuzzy Logic,5,13,7,68,25,2
Fuzzy Logic,6,14,2,59,42,4
Fuzzy Logic,5,12,3,25,19,4
Fuzzy Logic,7,13,1,64,31,4
Fuzzy Logic,6,15,3,97,76,15
Fuzzy Logic,8,15,2,102,25,3
Fuzzy Logic,6,12,2,123,27,7
Fuzzy Logic,7,13,5,60,27,5
Fuzzy Logic,5,9,3,52,29,5
Fuzzy Logic,6,11,0,27,32,2
Fuzzy Logic,5,9,2,46,27,8
Fuzzy Logic,4,5,0,65,20,3
Fuzzy Logic,9,6,1,36,22,2
Fuzzy Logic,2,10,4,43,28,5
Fuzzy Logic,3,7,4,31,19,10
Fuzzy Logic,4,8,3,35,37,11
Fuzzy Logic,5,11,2,59,38,1
Fuzzy Logic,8,11,6,47,28,8
Fuzzy Logic,2,7,4,62,37,3
Fuzzy Logic,9,13,2,155,54,5
Fuzzy Logic,4,11,1,48,39,10
Fuzzy Logic,6,9,1,85,24,9
Fuzzy Logic,4,12,4,99,21,7
Fuzzy Logic,7,10,5,70,33,17
Fuzzy Logic,11,14,3,95,59,4
Fuzzy Logic,6,10,3,79,53,16
Fuzzy Logic,6,8,5,94,60,7
Fuzzy Logic,6,13,3,70,45,8
Fuzzy Logic,8,7,3,80,27,5
Fuzzy Logic,6,16,5,56,24,8
Fuzzy Logic,3,10,3,23,22,6
Fuzzy Logic,6,11,3,67,31,8
Fuzzy Logic,3,5,1,88,29,4
Fuzzy Logic,4,3,0,61,12,1
Fuzzy Logic,2,8,3,38,17,4
Fuzzy Logic,7,8,4,122,62,14
Fuzzy Logic,5,17,0,59,15,4
Fuzzy Logic,5,10,5,52,31,7
Fuzzy Logic,6,12,0,79,17,3
Fuzzy Logic,4,16,4,28,20,9
Fuzzy Logic,6,11,3,73,50,7
Fuzzy Logic,5,13,4,70,34,4
Fuzzy Logic,7,14,6,55,38,9
Fuzzy Logic,5,4,0,60,29,8
Fuzzy Logic,7,11,6,118,51,7
Fuzzy Logic,4,7,0,62,24,8
Fuzzy Logic,5,8,4,67,23,8
Fuzzy Logic,3,7,2,66,29,6
Fuzzy Logic,5,7,4,52,25,6
Fuzzy Logic,10,6,1,63,19,5
Fuzzy Logic,5,13,2,47,24,4
Fuzzy Logic,5,7,1,52,15,9
Fuzzy Logic,5,8,3,68,15,8
Fuzzy Logic,7,7,3,54,32,8
Fuzzy Logic,3,5,5,45,39,7
Fuzzy Logic,8,13,1,56,37,3
Fuzzy Logic,6,8,3,36,24,4
Fuzzy Logic,5,7,4,56,28,6
Fuzzy Logic,6,7,4,77,53,10
Fuzzy Logic,4,8,3,29,15,4
Fuzzy Logic,3,8,4,27,32,14
Fuzzy Logic,7,11,1,53,21,4
Fuzzy Logic,3,9,3,103,44,5
Fuzzy Logic,6,12,2,56,27,6
Fuzzy Logic,4,9,4,63,17,2
Fuzzy Logic,3,14,6,47,36,12
Fuzzy Logic,9,11,1,81,13,8
Fuzzy Logic,8,15,3,97,52,6
Fuzzy Logic,5,9,3,46,25,9
Fuzzy Logic,6,7,3,42,20,3
Fuzzy Logic,5,15,1,72,40,5
Fuzzy Logic,5,10,2,63,22,4
Fuzzy Logic,7,11,1,24,14,11
Fuzzy Logic,5,14,3,74,9,1
Fuzzy Logic,4,12,3,68,14,5
Fuzzy Logic,8,7,1,65,35,7
Fuzzy Logic,4,10,5,66,61,19
Fuzzy Logic,3,8,4,52,38,10
Fuzzy Logic,4,13,5,56,27,5
Fuzzy Logic,7,13,0,135,45,5
Fuzzy Logic,1,9,3,39,14,7
Fuzzy Logic,5,11,0,78,20,9
Fuzzy Logic,4,12,2,44,40,11
Fuzzy Logic,5,17,1,52,41,3
Fuzzy Logic,8,6,0,57,25,8
Fuzzy Logic,9,13,3,47,18,1
Fuzzy Logic,3,8,3,40,25,5
Fuzzy Logic,5,9,3,60,59,2
Fuzzy Logic,3,10,2,51,25,7
Fuzzy Logic,7,10,3,44,18,6
Fuzzy Logic,6,9,0,69,31,9
Fuzzy Logic,8,12,4,64,22,0
Fuzzy Logic,3,10,2,41,20,5
Fuzzy Logic,3,7,3,42,15,3
Fuzzy Logic,6,6,0,90,35,7
Fuzzy Logic,6,14,4,97,36,6
Fuzzy Logic,9,11,4,128,58,4
Fuzzy Logic,4,9,2,54,37,5
Fuzzy Logic,11,14,2,102,63,7
Fuzzy Logic,4,11,3,45,51,7
Fuzzy Logic,5,16,5,40,13,6
Fuzzy Logic,7,8,3,28,18,3
Fuzzy Logic,6,11,3,41,14,9
Fuzzy Logic,3,10,4,27,10,6
Fuzzy Logic,6,11,4,85,54,14
Fuzzy Logic,5,4,2,93,21,6
Fuzzy Logic,3,6,2,33,19,5
Fuzzy Logic,3,11,2,76,24,2
Fuzzy Logic,8,10,4,36,18,5
Fuzzy Logic,5,10,1,21,17,4
Fuzzy Logic,1,9,1,50,30,3
Fuzzy Logic,8,6,0,161,75,15
Fuzzy Logic,5,15,3,78,49,5
Fuzzy Logic,7,13,5,38,18,3
Fuzzy Logic,10,3,2,51,21,5
Fuzzy Logic,3,10,2,61,38,3
Fuzzy Logic,8,8,2,69,41,3
Fuzzy Logic,10,19,3,68,35,4
Fuzzy Logic,6,9,4,65,17,5
Fuzzy Logic,7,10,2,92,14,5
Fuzzy Logic,9,8,1,95,18,6
Fuzzy Logic,8,13,2,48,12,10
Fuzzy Logic,5,11,2,48,29,6
Fuzzy Logic,8,21,3,31,31,5
Fuzzy Logic,6,10,3,108,27,2
Fuzzy Logic,4,8,1,54,31,2
Fuzzy Logic,8,8,2,54,33,2
Fuzzy Logic,6,18,6,44,16,8
Fuzzy Logic,4,11,6,54,23,12
Fuzzy Logic,7,8,2,85,25,5
Fuzzy Logic,6,13,2,79,74,6
Fuzzy Logic,6,11,4,87,41,18
Fuzzy Logic,5,12,2,64,12,5
Fuzzy Logic,4,12,6,45,27,7
Fuzzy Logic,7,10,5,37,36,12
Fuzzy Logic,4,11,5,42,23,7
Fuzzy Logic,5,11,2,82,32,4
Fuzzy Logic,6,14,2,39,13,3
Fuzzy Logic,7,8,2,73,14,2
Fuzzy Logic,7,11,1,59,25,1
Fuzzy Logic,3,11,5,65,22,9
Fuzzy Logic,4,8,3,33,37,9
Fuzzy Logic,9,6,5,62,35,5
Fuzzy Logic,3,9,3,58,30,5
Fuzzy Logic,5,9,5,26,16,9
Fuzzy Logic,3,6,5,53,29,9
Fuzzy Logic,4,10,5,48,29,6
Fuzzy Logic,4,7,1,30,18,7
Fuzzy Logic,3,8,2,53,34,6
Fuzzy Logic,7,12,1,57,29,2
Fuzzy Logic,4,11,3,49,28,6
Fuzzy Logic,8,9,3,51,24,3
Fuzzy Logic,5,13,5,54,46,12
Fuzzy Logic,4,8,5,9,16,3
Fuzzy Logic,6,9,2,32,20,3
Fuzzy Logic,3,8,4,56,20,8
Fuzzy Logic,6,13,2,62,21,9
Fuzzy Logic,12,4,0,63,19,5
Fuzzy Logic,2,10,4,60,15,2
Fuzzy Logic,5,16,4,27,14,8
Fuzzy Logic,4,8,4,55,17,7
Fuzzy Logic,7,13,4,46,17,6
Fuzzy Logic,5,10,2,25,14,6
Fuzzy Logic,6,13,2,55,40,3
Fuzzy Logic,4,8,2,68,32,9
Fuzzy Logic,4,13,4,55,29,9
Fuzzy Logic,5,7,1,77,26,3
Fuzzy Logic,7,15,8,34,14,4
Fuzzy Logic,8,9,1,67,35,4
Fuzzy Logic,6,6,2,64,19,5
Fuzzy Logic,8,10,1,79,31,6
Fuzzy Logic,4,11,2,61,36,8
Fuzzy Logic,2,7,4,45,16,1
Fuzzy Logic,5,12,2,63,39,2
Fuzzy Logic,5,7,3,58,27,6
Fuzzy Logic,3,11,5,54,21,8
Fuzzy Logic,4,11,5,17,17,5
Fuzzy Logic,5,14,5,85,33,17
Fuzzy Logic,5,10,1,41,27,3
Fuzzy Logic,9,12,2,98,62,9
Fuzzy Logic,6,6,1,27,15,6
Fuzzy Logic,4,4,3,50,51,7
Fuzzy Logic,9,9,2,76,17,8
Fuzzy Logic,9,12,6,65,15,4
Fuzzy Logic,3,5,2,63,30,3
Fuzzy Logic,10,9,2,96,33,3
Fuzzy Logic,3,11,4,53,26,3
Fuzzy Logic,4,8,2,73,23,4
Fuzzy Logic,3,5,1,45,22,6
Fuzzy Logic,4,4,1,88,29,9
Fuzzy Logic,10,13,6,44,15,4
Fuzzy Logic,5,5,0,67,20,4
Fuzzy Logic,6,9,7,28,14,7
Fuzzy Logic,4,13,3,56,32,6
Fuzzy Logic,3,5,3,50,36,5
Fuzzy Logic,6,9,0,62,25,4
Fuzzy Logic,5,8,3,56,31,5
Fuzzy Logic,4,10,2,58,33,3
Fuzzy Logic,7,6,3,69,22,7
Fuzzy Logic,5,7,1,113,41,7
Fuzzy Logic,7,13,0,75,14,9
Fuzzy Logic,6,17,2,59,26,4
Fuzzy Logic,2,12,6,33,26,13
Fuzzy Logic,6,8,5,42,34,13
Fuzzy Logic,10,9,3,32,26,5
Fuzzy Logic,6,5,2,37,17,4
Fuzzy Logic,2,17,3,45,26,16
Fuzzy Logic,7,17,6,25,18,5
Fuzzy Logic,7,8,4,56,25,2
Fuzzy Logic,6,7,1,86,44,8
Fuzzy Logic,5,10,2,44,23,7
Fuzzy Logic,9,14,1,112,57,12
Fuzzy Logic,4,9,2,73,53,1
Fuzzy Logic,4,11,3,31,21,10
Fuzzy Logic,6,6,3,33,28,14
Fuzzy Logic,5,8,2,73,27,3
Fuzzy Logic,5,13,2,50,25,5
Fuzzy Logic,6,10,2,95,38,5
Fuzzy Logic,4,11,3,66,26,2
Fuzzy Logic,6,17,7,54,14,5
Fuzzy Logic,7,11,0,51,38,3
Fuzzy Logic,2,10,4,58,21,2
Fuzzy Logic,5,10,2,72,34,12
Fuzzy Logic,11,13,5,45,14,3
Fuzzy Logic,6,13,1,114,52,8
Fuzzy Logic,3,12,5,38,40,10
Fuzzy Logic,5,10,1,137,67,16
Fuzzy Logic,6,12,4,47,42,9
Fuzzy Logic,8,13,3,84,46,4
Fuzzy Logic,4,10,2,56,29,0
Fuzzy Logic,5,11,3,33,24,5
Fuzzy Logic,5,11,1,69,44,7
Fuzzy Logic,5,9,2,87,22,4
Fuzzy Logic,7,3,3,65,29,11
Fuzzy Logic,3,13,1,71,46,3
Fuzzy Logic,7,13,3,103,46,10
Fuzzy Logic,6,6,2,50,28,1
Fuzzy Logic,7,14,4,47,25,5
Fuzzy Logic,4,9,5,71,54,15
Fuzzy Logic,5,9,4,86,43,11
Fuzzy Logic,9,16,1,75,18,3
Fuzzy Logic,3,3,1,36,17,2
Fuzzy Logic,7,12,1,77,24,3
Fuzzy Logic,2,9,1,104,22,8
Fuzzy Logic,6,6,1,50,24,6
Fuzzy Logic,3,3,1,36,23,5
Fuzzy Logic,7,6,2,129,73,6
Fuzzy Logic,8,12,1,57,20,4
Fuzzy Logic,8,19,7,38,15,6
Fuzzy Logic,5,9,3,40,30,13
Fuzzy Logic,3,12,5,35,29,5
Fuzzy Logic,2,4,4,57,31,10
Fuzzy Logic,7,8,5,40,19,4
Fuzzy Logic,5,9,3,67,13,5
Fuzzy Logic,6,12,1,51,23,2
Fuzzy Logic,8,10,1,61,42,8
Fuzzy Logic,4,9,3,94,46,7
Fuzzy Logic,0,6,1,70,33,5
Fuzzy Logic,6,10,1,42,40,1
Fuzzy Logic,4,12,4,40,16,7
Fuzzy Logic,4,7,3,28,16,4
Fuzzy Logic,4,13,3,74,17,7
Fuzzy Logic,7,12,4,54,23,8
Fuzzy Logic,9,14,4,58,17,3
Fuzzy Logic,7,8,1,112,31,7
Fuzzy Logic,3,7,7,73,25,8
Fuzzy Logic,6,9,0,92,47,6
Fuzzy Logic,9,13,3,74,36,1
Fuzzy Logic,2,7,2,50,42,14
Fuzzy Logic,3,16,3,56,39,7
Fuzzy Logic,5,14,3,53,37,12
Fuzzy Logic,4,9,2,24,23,5
Fuzzy Logic,1,15,11,15,16,7
Fuzzy Logic,7,13,1,80,29,5
Fuzzy Logic,8,16,5,73,15,5
Fuzzy Logic,8,10,2,139,71,10
Fuzzy Logic,2,12,3,66,27,14
Fuzzy Logic,7,13,2,60,28,2
Fuzzy Logic,5,15,1,57,17,6
Fuzzy Logic,3,6,3,48,52,19
Fuzzy Logic,7,12,5,42,8,1
Fuzzy Logic,6,13,4,97,66,2
Fuzzy Logic,4,5,1,62,31,1
Fuzzy Logic,10,8,4,113,55,10
Fuzzy Logic,3,12,1,49,20,6
Fuzzy Logic,10,13,1,88,30,1
Fuzzy Logic,6,17,6,107,35,14
Fuzzy Logic,4,3,1,53,28,8
Fuzzy Logic,7,11,2,53,44,7
Fuzzy Logic,7,10,1,121,32,1
Fuzzy Logic,4,6,1,58,24,5
Fuzzy Logic,6,16,3,85,40,8
Fuzzy Logic,5,10,2,73,45,9
Fuzzy Logic,5,13,1,63,48,11
Fuzzy Logic,3,8,2,91,63,11
Fuzzy Logic,7,15,4,57,39,7
Fuzzy Logic,5,6,2,55,21,11
Fuzzy Logic,6,4,3,87,21,7
Fuzzy Logic,5,8,2,81,19,5
Fuzzy Logic,5,10,3,31,27,5
Fuzzy Logic,8,7,4,58,17,4
Fuzzy Logic,8,13,2,82,44,12
Fuzzy Logic,7,13,2,53,17,4
Fuzzy Logic,5,6,3,81,30,9
Fuzzy Logic,2,9,6,15,25,12
Fuzzy Logic,6,9,2,132,41,11
Fuzzy Logic,2,9,3,38,20,8
Fuzzy Logic,5,10,3,14,8,1
Fuzzy Logic,4,12,4,45,25,7
Fuzzy Logic,8,9,3,121,29,7
Fuzzy Logic,9,14,5,66,42,14
Fuzzy Logic,2,3,0,55,25,9
Fuzzy Logic,7,13,5,42,16,5
Fuzzy Logic,3,12,1,48,20,6
Fuzzy Logic,4,10,0,67,14,11
Fuzzy Logic,4,12,1,66,39,4
Fuzzy Logic,6,9,1,64,44,4
Fuzzy Logic,5,7,3,51,24,8
Fuzzy Logic,7,8,0,65,40,3
Fuzzy Logic,6,12,4,51,35,6
Fuzzy Logic,6,11,1,129,26,5
Fuzzy Logic,4,9,2,89,53,9
Fuzzy Logic,5,9,3,37,22,2
Fuzzy Logic,7,16,3,67,12,3
Fuzzy Logic,9,13,2,56,27,4
Fuzzy Logic,7,16,1,76,45,8
Fuzzy Logic,5,6,4,41,22,5
Fuzzy Logic,5,14,5,64,29,6
Fuzzy Logic,7,10,1,79,42,6
Fuzzy Logic,6,13,3,20,9,2
Fuzzy Logic,4,14,7,36,25,11
Fuzzy Logic,3,3,4,45,28,6
Fuzzy Logic,5,14,3,39,42,10
Fuzzy Logic,1,7,1,33,33,7
Fuzzy Logic,4,9,3,84,16,5
Fuzzy Logic,4,16,4,62,32,8
Fuzzy Logic,5,10,4,59,16,7
Fuzzy Logic,3,9,1,76,44,2
Fuzzy Logic,3,13,3,47,45,9
Fuzzy Logic,10,11,3,57,36,7
Fuzzy Logic,3,6,2,80,24,12
Fuzzy Logic,4,10,1,48,22,7
Fuzzy Logic,3,9,7,59,14,7
Fuzzy Logic,10,13,1,87,28,2
Fuzzy Logic,6,14,5,68,14,6
Fuzzy Logic,7,9,2,88,22,4
Fuzzy Logic,12,8,2,62,19,3
Fuzzy Logic,3,6,2,60,20,7
Fuzzy Logic,8,9,6,71,24,7
Fuzzy Logic,8,10,2,42,19,2
Fuzzy Logic,1,5,2,19,18,7
Fuzzy Logic,4,16,9,33,28,18
Fuzzy Logic,5,8,4,55,26,7
Fuzzy Logic,7,19,2,30,20,3
